cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
blood-B	Parji	netir		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:335 (A)	; set - 3748
blood-B	Telugu	nettuɾu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:335 (A)	set - 3748
blood-B	Tulu	nettarə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:335 (A)	set - 3748
blood-C	Kurukh	kʰe:ns		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:175 (A)	DED1931
blood-D	Kodava	tʃo:ɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:250 (A)	set - 2883
blood-D	Malayalam	tʃo:ɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:250 (A)	set - 2883
blood-D	Yeruva	tʃo:ɾe		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 2883 (pg.250), but not in DED list.
blood-E	Toda	po:kʰə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:482 (A)	set -5334
blood-F	Malto	ɾasadu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
bone-A	Badga	ilə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of set - 839 (pg. 81) but not in DED list
bone-A	Betta_Kurumba	jaləʋə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:81 (A)	DED839
bone-A	Kannada	jelubu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:81 (A)	; set - 839
bone-A	Kota	jeluʋə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:81 (A)	DED839
bone-A	Malayalam	ellə		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:81 (A)	; set - 839
bone-A	Tamil	elumbə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:81 (A)	; set - 839
bone-A	Telugu	jemuka		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:81 (A)	; set - 839
bone-A	Toda	elf		Kolipakam fieldwork (A)	Burrow Emeneau 1961:81 (A)	set - 839
bone-A	Tulu	ellə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:81 (A)	set - 839
bone-B	Gondi	bokka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:400 (A)	DED4528
bone-B	Kolami	bokka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:400 (A)	DED4528
bone-B	Koya	bu:la:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:400 (A)	set - 4528
bone-B	Koya	bu:lk		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of set -4528 (pg. 400) but not in DED list
bone-B	Parji	būla		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:400 (A)	; set - 4528
bone-B	Telugu	bokka		Kolipakam fieldwork (A)	Burrow Emeneau 1961:400 (A)	set - 4528
bone-C	Malto	o:tʃuldi:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED1288 (A)	Initial q in DED corresponds to zero in this list
bone-D	Kannada	mu:ɭe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:456 (A)	set -5050
bone-D	Kodava	mu:ɭe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:456 (A)	set -5050
bone-D	Yeruva	mu:ɭe		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of set - 5050 (pg. 456) but not in DED list
bone-E	Malayalam	asti		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified
bone-F	Kurukh	kʰotʃol		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED1296
bone-G	Brahui	aɖɖə		Kolipakam (fieldwork) (A)	Kolipakam (B)	no obvious cognates or entry in DED
breast-A	Badga	ma:ɾə		Kolipakam fieldwork (A)	Dunn (B)	Clear lookalike
breast-A	Malayalam	māṟu		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED4818 (A)	; Ma. mār, mārvvu, māṟu chest; fathom.
breast-A	Tamil	ma:ɾbə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4818 (A)	; Ta. mār breast, chest; fathom; mārpu bosom, breast, chest, woman's breas
breast-A	Tamil	ma:ɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4818 (A)	Ta. mār breast, chest; fathom; mārpu bosom, breast, chest, woman's breas
breast-B	Kannada	ede		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED827 (A)	; 
breast-B	Koya	eddam		Kolipakam fieldwork (A)	Dunn (B)	Good lookalike
breast-B	Parji	edram		Andronov 1964 (B)	Burrow Emeneau 1961:DED827 (A)	Pa. edram, edrom chest.
breast-C	Telugu	gunde		Andronov 1964 (B)	Andronov 1964 (B)	
breast-E	Toda	nidʒikuɖi		Kolipakam fieldwork (A)	Dunn (C)	Singleton. Not in DED, no other apparent cognates.
breast-F	Kodava	mele		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4985 (A)	Koḍ. mole breast.
breast-F	Kota	me:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:448 (A)	DED4985
breast-F	Malayalam	mula		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4985 (A)	
breast-F	Yeruva	mele		Kolipakam fieldwork (A)	Dunn (B)	Identical to close relative DED4985
breast-G	Kannada	stʰana		Kolipakam fieldwork (A)	Dunn (C)	not in DED
breast-G	Malayalam	stanam		Kolipakam fieldwork (A)	Dunn (C)	not in DED
breast-G	Telugu	stʰanamu		Kolipakam fieldwork (A)	Dunn (C)	not in DED
breast-H	Tulu	tigala		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3206 (A)	Tu. tigalè 'breast, chest'; Ka. (PBh.) tegale 'chest'.
breast-I	Betta_Kurumba	kujndigi		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
breast-J	Brahui	xad		Kolipakam (fieldwork) (A)	Kolipakam (B)	no obvious cogante or entry in DED
breast-K	Malto	daibuku		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
breast-L	Kurukh	jeʋakʰ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
breast-M	Kolami	sa:tti		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
breast-N	Gondi	dudo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
breast-O	Ollari_Gadba	palgil		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
breast-P	Kuwi	sipadaki		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
burn-A	Betta_Kurumba	bja:ɭ ~ ben		Kolipakam fieldwork (A)	Kolipakam (B)	Self-identified. Not similar to any other cognate class
burn-B	Telugu	ka:lu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:139 (A)	DED1500 Te. kālu to burn, be burnt, scalded, scorched, baked
burn-C	Kannada	suɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:230 (A)	DED2654 Ka. suḍu (suṭṭ-) to burn, roast, bake, fire (a gun); be consumed with fire, burn, feel hot, be roasted; n. burning, etc.
burn-C	Kodava	tʃu:ɖə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:230 (A)	DED2654 Koḍ. cuḍ- (cuḍuv- cuṭṭ-) to burn (tr.)
burn-C	Yeruva	tʃu:ɖə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to DED2654
burn-D	Tamil	eɾi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:80 (A)	DED811 Ta. eri (-v-, -nt-) to burn, blaze, shine, (sore or fever) burns, suffer a painful emotion;
burn-E	Badga	kitʃi:kdə		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to DED1207
burn-E	Betta_Kurumba	kattu ~ kettu		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to DED1207
burn-E	Kota	ka:to		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:113 (A)	DED1207
burn-E	Malayalam	katikkuga		Kolipakam fieldwork (A)	Burrow Emeneau 1961:113 (A)	DED1207 Ma. kattuka to kindle, burn;
burn-E	Toda	ti:kku ka:ttiti		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to DED1207
burn-F	Koya	maɳɖu		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to DED4680
burn-F	Telugu	maɳɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:414 (A)	DED4680 Te. maṇḍu to burn, blaze, flame, cause or produce a burning pain, be angry, be in a fury or violent rage, be envious; maṇṭa flame, blaze, burning pain, anger, wrath, fury, envy;
burn-G	Tulu	pottaʋaɾa		Kolipakam fieldwork (A)	Kolipakam (B)	not similar to any other cognate class
burn-H	Brahui	xa:xaɾ tinning		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:135 (A)	DED1458
burn-I	Gondi	niɾus		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:329 (A)	DED3693
burn-J	Malto	me:da		Kolipakam (fieldwork) (A)	Kolipakam (A)	apparent singleton. no entry in DED
burn-K	Kurukh	olna		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
burn-L	Kolami	gonɖka		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
claw-A	Malayalam	nakʰam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:245 (B)	; IE *(o)nogh-
claw-A	Tamil	nagam	LOAN	Andronov 1964 (L); Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:245 (L)	; IE *(o)nogh-
claw-B	Badga	ugilə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 561(pg,55), but not on DED list.
claw-B	Brahui	hoɾ ad		Kolipakam (fieldwork) (A)	Kolipakam:55 (A)	DED561
claw-B	Gondi	goɾk		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:55 (A)	DED561
claw-B	Kannada	ugaɾu		Kolipakam fieldwork (A)	Andronov 1964 (C); Burrow Emeneau 1961:55 (A)	; set - 561
claw-B	Kodava	ʋoji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:55 (A)	set - 561
claw-B	Kolami	go:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:55 (A)	DED561
claw-B	Koya	go:ɾk		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 561(pg,55), but not on DED list.
claw-B	Kurukh	oɾokʰ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED561
claw-B	Kuwi	gaɾka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:55 (A)	DED561
claw-B	Malto	oɾugdu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:55 (A)	Set 561
claw-B	Parji	gēri		Andronov 1964 (B)	Burrow Emeneau 1961:55 (A)	set - 561
claw-B	Telugu	go:ɾu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:55 (A)	; set - 561
claw-B	Toda	ju:r		Kolipakam fieldwork (A)	Burrow Emeneau 1961:55 (A)	set - 561
claw-B	Tulu	uguɾu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:55 (A)	set - 561
claw-C	Yeruva	ummi		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified
claw-D	Betta_Kurumba	ki:jəggəɾə		Kolipakam fieldwork (A)	Kolipakam (B)	
claw-D	Kota	kaijo:ɾu		Kolipakam (fieldwork) (A)	Kolipakam:55 (A)	The suffix of the word is cognate to "Goru" - Set B
claw-E	Brahui	zeel		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
claw-F	Ollari_Gadba	kaʂʋanɖe		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
cloud-A	Kannada	mēgha	LOAN	Andronov 1964 (L)	Andronov 1964 (L); Buck 1949:65 (L)	; skt. megha
cloud-A	Kota	me:gam	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	skt. megha
cloud-A	Malayalam	mekʰam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:65 (L)	; skt. megha
cloud-A	Tamil	me:gam	LOAN	Andronov 1964 (L); Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:65 (L)	; skt. megha
cloud-A	Telugu	me:gʰamu	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (A); Buck 1949:65 (L)	; skt. megha
cloud-A	Toda	me:gam	LOAN	Kolipakam fieldwork (A)	Jordan (L); Buck 1949:65 (L)	Identical to Tamil form; skt. megha
cloud-B	Parji	malgur		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:437 (A)	; DED4892 Ta. mukil cloud. Ma. mukil id. To. nïs̱ muxuḷm mist on hills in morning (in song; see 3675). Ka. mugil cloud, series or bank of clouds; the sky. Tu. mugalů, mugaḷů cloud; mugaliyuni to become cloudy (the sky). Te. mogulu, moyilu cloud. Kol. morgar id. Pa. malgur id. Ga. (Oll. P.) mogul id., sky; (S.) moggul id. Go. (M.) moyol, (Ma.) moyol (pl. moyosk), (L.) muyol cloud (Voc. 2987); (LuS.) moyoolee a cloud; (Koya T.) moyyel id. DED(S) 4006.
cloud-C	Gondi	mabbu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:418 (A)	DED4728
cloud-C	Koya	mabbu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4728 (A)	
cloud-C	Telugu	mabbu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4728 (A)	
cloud-D	Betta_Kurumba	mo:ɖə		Kolipakam fieldwork (A)	Jordan (B)	Good lookalike with Tulu form: mōḍa DED5033
cloud-D	Kannada	mo:ɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5033 (A)	B&E form: mōḍa
cloud-D	Kodava	mo:ɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5033 (A)	B&E form: mo·ḍa
cloud-D	Telugu	mo:ɖamu		Kolipakam fieldwork (A)	Jordan (B)	Form similar Kannada: mo:ɖa
cloud-D	Tulu	mo:ɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5033 (A)	B&E form: mōḍa
cloud-D	Yeruva	mo:ɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5033 (A)	Identical to Kodava form: mo·ḍa
cloud-E	Badga	mandʒu		Kolipakam fieldwork (A)	Jordan (B)	Form similar to DED4641 e.g. Tamil: mancu, Ko. Manj
cloud-F	Kurukh	bada:li	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	possible loanword hindi - badal
cloud-F	Malto	badli:	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	possible loan word : hindi - badal
cloud-G	Brahui	dʒammaɾ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No apparent cognate or entry in DED
cloud-H	Kolami	a:bar		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in ded
cloud-I	Kuwi	ha:gu		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in ded
cloud-J	Kuwi	dunɖaɾa		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
cold-A	Kannada	taɳɳige		Burrow Emeneau 1961 (A); Kolipakam fieldwork (A)	Andronov 1964 (B)	Andronov form: taṇḍi
cold-A	Kodava	talindʒadə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3045 (B)	B&E form: taṇi
cold-A	Malayalam	taɳuppə		Kolipakam fieldwork (A)	Andronov 1964 (B)	
cold-A	Yeruva	taɳidʒe		Kolipakam fieldwork (A)	Jordan:DED3045 (B)	Lookalike with Kannada: taɳɳige
cold-B	Tamil	kuɭiɾtʃi		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
cold-C	Gondi	sallag		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike
cold-C	Koya	salla:		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Te: tʃalla
cold-C	Telugu	tʃalla		Kolipakam fieldwork (A)	Andronov 1964 (A)	
cold-C	Tulu	tʃappa		Kolipakam fieldwork (A)	Jordan (C)	Lookalike with Te: tʃalla
cold-D	Kolami	pani		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:360 (A)	DED4035
cold-D	Malto	panija:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4035
cold-D	Parji	pañil		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED4035 (A)	; 
cold-E	Kodava	ko:ʈa		Kolipakam fieldwork (A)	Jordan (C)	Self identified.
cold-E	Toda	koɾti		Kolipakam fieldwork (A)	Jordan (C)	Self identified.
cold-F	Betta_Kurumba	səjlijə		Kolipakam fieldwork (A)	Jordan (C)	Self identified.
cold-G	Badga	koɾuʋə		Kolipakam fieldwork (A)	Jordan (C)	MIGHT be cognate with Kodava "ko:ʈa"
cold-G	Kota	koɾʋə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:195 (A)	DED2168
cold-H	Kurukh	ki:ɾna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:144 (A)	DED1568
cold-H	Malto	kiʋa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:144 (A)	DED1568
cold-I	Brahui	jakʰ		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
cold-I	Brahui	jax		Kolipakam (fieldwork) (A)	Kolipakam (B)	no apparent cognate. No entry in DED
come-A	Badga	pappa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (C)	reasonable lookalike
come-A	Betta_Kurumba	ba:ɾ ~ ban ~ bu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (B)	clear cognate
come-A	Brahui	banning		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (B)	DED5270
come-A	Gondi	ʋa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (A)	DED5270
come-A	Kannada	baru-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED5270 (A)	; 
come-A	Kannada	ba:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Kodava	ba:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Kolami	ʋa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (B)	DED5270
come-A	Koya	ʋa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Koya	ʋa:daɖam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Kurukh	baɾna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (B)	DED5270
come-A	Malayalam	ʋaɾuga		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED5270 (A)	; 
come-A	Malto	baɾəa:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:475 (A)	Set 5270
come-A	Ollari_Gadba	ʋa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (B)	DED5270
come-A	Parji	ver-		Andronov 1964 (B)	Burrow Emeneau 1961:DED5270 (A); Verkerk (B)	; 
come-A	Tamil	ʋa:		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED5270 (A)	; 
come-A	Telugu	ʋatʃtʃu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED5270 (A)	; 
come-A	Telugu	ɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:476 (A)	DED5270
come-A	Toda	pa:ɾti		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Tulu	baɾaɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (A)	
come-A	Yeruva	ba:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5270 (B)	clear cognate
die-A	Badga	sa:ʋadə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2426 (C)	reasonable cognate candidate
die-A	Brahui	kahing		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:213 (A)	DED2426
die-A	Gondi	ha:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:213 (A)	DED2426
die-A	Kannada	sa:ji		Andronov 1964 (B); Kolipakam fieldwork (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED2426 (A)	; 
die-A	Kodava	tʃ:ɭa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2426 (A)	
die-A	Kurukh	kʰena		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:213 (A)	DED2426
die-A	Malto	keəa:na:keəida:h		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED2426 (A)	
die-A	Parji	cay-		Andronov 1964 (B)	Burrow Emeneau 1961:DED2426 (A)	
die-A	Tamil	tʃa:		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
die-A	Tamil	sattə po		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2426 (A)	
die-A	Telugu	tʃatʃtʃipo:ʋu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
die-A	Tulu	sajjaɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2426 (C)	reasonable lookalike
die-A	Yeruva	tʃa:ɭa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2426 (B)	excellent cognate candidate
die-B	Betta_Kurumba	maɾdo:g	LOAN	Kolipakam fieldwork (A)	Dunn (L)	Looks like an I-E borrowing
die-B	Malayalam	maɾikkuga	LOAN	Andronov 1964 (L); Kolipakam fieldwork (B)	Andronov 1964 (L)	
die-C	Koya	ɖollatam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2988 (B)	very similar forms cited for sister languages
die-D	Toda	keɖuoisi		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
die-E	Kolami	tigte:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:299 (A)	DED3406
die-F	Kota	ta:ʋə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED3068
dog-A	Badga	ne		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
dog-A	Betta_Kurumba	na:jə		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
dog-A	Gondi	nej		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:322 (A)	DED3650
dog-A	Kannada	na:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3650 (A)	DED 3650: Ka. nāy, nāyi id.; nāyitana doggishness.
dog-A	Kodava	na:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3650 (A)	DED 3650: Koḍ. na·y dog.
dog-A	Kolami	a:te		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:322 (A)	DED3650
dog-A	Kota	na:ji		Kolipakam (fieldwork) (A)	Kolipakam (B)	high quality look alike
dog-A	Koya	nej		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
dog-A	Malayalam	na:ja		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3650 (A)	; DED 3650: Ma. nāy id.
dog-A	Ollari_Gadba	ne		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:322 (A)	DED3650
dog-A	Parji	netta		Andronov 1964 (B)	Burrow Emeneau 1961:DED3650 (A)	DED 3650: Pa. netta (pl. nettel) id.; iric netta wild dog.
dog-A	Tamil	na:ji		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3650 (A)	; DED 3650: Ta. nāy, nāi dog.
dog-A	Toda	noi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3650 (A)	DED 3650: To. no·y id.
dog-A	Tulu	na:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3650 (A)	DED 3650: Tu. nāyi id.
dog-A	Yeruva	na:ji		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
dog-B	Telugu	kukka	EXCLUDE	Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1796 (X)	DED 1796 Te. kukka dog. Onomatopaeia
dog-C	Malayalam	paʈʈi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3870 (B)	DED3870: Ma. paṭṭi dog, bitch; paṭṭicci bitch. DED(S) 3201.
dog-D	Kurukh	alla		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:254 (A)	DED2916
dog-E	Brahui	kutʃak		Kolipakam (fieldwork) (A)	Kolipakam (B)	no entry in DED.
dog-E	Malto	kutʃtʃo		Kolipakam (fieldwork) (A)	Kolipakam (B)	high quality look alike to brahui term. No DED entry
drink-A	Badga	kuɖapə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1654 (B)	clear cognate: identical to closely related languages
drink-A	Betta_Kurumba	kuɖi ~ kujɾi		Kolipakam fieldwork (A)	Dunn (B)	clear cognate
drink-A	Kannada	kuḍi-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED1654 (A)	; 
drink-A	Kannada	kudijo:du		Kolipakam fieldwork (A)	Dunn (C)	apparently a morphologically complex form of DED1654
drink-A	Kodava	kuɖipa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1654 (B)	clear cognate: identical to closely related languages
drink-A	Malayalam	kuṭi-		Andronov 1964 (B)	Andronov 1964 (B)	
drink-A	Malayalam	kudikkuga		Kolipakam fieldwork (A)	Dunn:DED1654 (B)	clear moprhologically complex form of large, stable cognate set
drink-A	Tamil	kuɖi		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
drink-A	Yeruva	kuɖipə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1654 (B)	clear cognate: identical to closely related languages
drink-B	Telugu	ta:gu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
